SPEAKER         id       #SENT      #WORD       Corr        Sub        Ins        Del        Err      S.Err
M175408183      sys         21        300      85.00       4.33       2.33      10.67      17.33      71.43
M185782101      raw         26        248        186         11          7         51         69         17
M185782101      sys         26        248      75.00       4.44       2.82      20.56      27.82      65.38
M196219813      raw         15        205         93         14          0         98        112         13
M196219813      sys         15        205      45.37       6.83       0.00      47.80      54.63      86.67
M214082593      raw         45        522        500          2          9         20         31         20
M214082593      sys         45        522      95.79       0.38       1.72       3.83       5.94      44.44
M225144385      raw         22        328        328          0          0          0          0          0
M225144385      sys         22        328     100.00       0.00       0.00       0.00       0.00       0.00
M226914342      raw         20        164        148          2          1         14         17          6
M226914342      sys         20        164      90.24       1.22       0.61       8.54      10.37      30.00
M23610024       raw         11        112         91          5          0         16         21          3
M23610024       sys         11        112      81.25       4.46       0.00      14.29      18.75      27.27
M242124169      raw         20        398        390          1          1          7          9          5
M242124169      sys         20        398      97.99       0.25       0.25       1.76       2.26      25.00
M244641265      raw         15        286        279          3          5          4         12          7
M244641265      sys         15        286      97.55       1.05       1.75       1.40       4.20      46.67
M250848004      raw         13        170        166          0          3          4          7          4
M250848004      sys         13        170      97.65       0.00       1.76       2.35       4.12      30.77
M251034790      raw         15        311        270         21          6         20         47         13
M251034790      sys         15        311      86.82       6.75       1.93       6.43      15.11      86.67
M257946387      raw         17        294        289          3          5          2         10          7
M257946387      sys         17        294      98.30       1.02       1.70       0.68       3.40      41.18
M259599446      raw         20        266        242          3          8         21         32         13
M259599446      sys         20        266      90.98       1.13       3.01       7.89      12.03      65.00
M267587425      raw         10        208        203          1          1          4          6          5
M267587425      sys         10        208      97.60       0.48       0.48       1.92       2.88      50.00
M269408401      raw         14        150        132          3          0         15         18          5
M269408401      sys         14        150      88.00       2.00       0.00      10.00      12.00      35.71
M272458001      raw          1          8          6          2         22          0         24          1
M272458001      sys          1          8      75.00      25.00     275.00       0.00     300.00     100.00
M275719765      raw         30        472        396         19          8         57         84         21
M275719765      sys         30        472      83.90       4.03       1.69      12.08      17.80      70.00
M286080008      raw         18        197        112         11          0         74         85         14
M286080008      sys         18        197      56.85       5.58       0.00      37.56      43.15      77.78
M286743656      raw         20        213        192         14          2          7         23          8
M286743656      sys         20        213      90.14       6.57       0.94       3.29      10.80      40.00
M322286556      raw         29        176        171          1          0          4          5          4
M322286556      sys         29        176      97.16       0.57       0.00       2.27       2.84      13.79
M323954119      raw         22        280        211         16          1         53         70         15
M323954119      sys         22        280      75.36       5.71       0.36      18.93      25.00      68.18
M328910271      raw         14        357        321          2          2         34         38          8
M328910271      sys         14        357      89.92       0.56       0.56       9.52      10.64      57.14
M330901168      raw         21        188        185          0          3          3          6          5
M330901168      sys         21        188      98.40       0.00       1.60       1.60       3.19      23.81
M33552579       raw          6         52         36          5          0         11         16          3
M33552579       sys          6         52      69.23       9.62       0.00      21.15      30.77      50.00
M342905676      raw         46        294        275          9          6         10         25         14
M342905676      sys         46        294      93.54       3.06       2.04       3.40       8.50      30.43
M362369493      raw         14        163        136         14          4         13         31          5
M362369493      sys         14        163      83.44       8.59       2.45       7.98      19.02      35.71
M365633052      raw         27        115         93         11          1         11         23         10
M365633052      sys         27        115      80.87       9.57       0.87       9.57      20.00      37.04
M373516297      raw         28        272        254         13         13          5         31         13
M373516297      sys         28        272      93.38       4.78       4.78       1.84      11.40      46.43
M374046488      raw          3         65         64          0          2          1          3          2
M374046488      sys          3         65      98.46       0.00       3.08       1.54       4.62      66.67
M375068404      raw         10        110         92          4          7         14         25          8
M375068404      sys         10        110      83.64       3.64       6.36      12.73      22.73      80.00
M379489443      raw         21        168        126         10          3         32         45         10
M379489443      sys         21        168      75.00       5.95       1.79      19.05      26.79      47.62
M380815715      raw         20        234        214          0          5         20         25          8
M380815715      sys         20        234      91.45       0.00       2.14       8.55      10.68      40.00
M383657449      raw         36        275        273          0          8          2         10         10
M383657449      sys         36        275      99.27       0.00       2.91       0.73       3.64      27.78
M386648661      raw         20        267        260          3          0          4          7          3
M386648661      sys         20        267      97.38       1.12       0.00       1.50       2.62      15.00
M388765895      raw         46        312        285         12          9         15         36         16
M388765895      sys         46        312      91.35       3.85       2.88       4.81      11.54      34.78
M40417113       raw         18        163        155          7         14          1         22          5
M40417113       sys         18        163      95.09       4.29       8.59       0.61      13.50      27.78
M408264711      raw         24        293        267          8          3         18         29          6
M408264711      sys         24        293      91.13       2.73       1.02       6.14       9.90      25.00
M410070353      raw         23        112        112          0          1          0          1          1
M410070353      sys         23        112     100.00       0.00       0.89       0.00       0.89       4.35
M41039484       raw         21        156        151          2          1          3          6          4
M41039484       sys         21        156      96.79       1.28       0.64       1.92       3.85      19.05
M421598033      raw         33        359        302         12          7         45         64         21
M421598033      sys         33        359      84.12       3.34       1.95      12.53      17.83      63.64
M423858313      raw         18        169        163          1          4          5         10          5
M423858313      sys         18        169      96.45       0.59       2.37       2.96       5.92      27.78
M430940100      raw          4         66         58          7         11          1         19          4
M430940100      sys          4         66      87.88      10.61      16.67       1.52      28.79     100.00
M434403605      raw         22        179        150          6          0         23         29          8
M434403605      sys         22        179      83.80       3.35       0.00      12.85      16.20      36.36
M434535751      raw         13        202        199          1          2          2          5          3
M434535751      sys         13        202      98.51       0.50       0.99       0.99       2.48      23.08
M435196084      raw         16        119         93         18          4          8         30          8
M435196084      sys         16        119      78.15      15.13       3.36       6.72      25.21      50.00
M440399846      raw         39        840        516         82         32        242        356         27
M440399846      sys         39        840      61.43       9.76       3.81      28.81      42.38      69.23
M440547756      raw         48        512        433         44          8         35         87         21
M440547756      sys         48        512      84.57       8.59       1.56       6.84      16.99      43.75
M442134683      raw          4         40          7          1          0         32         33          4
M442134683      sys          4         40      17.50       2.50       0.00      80.00      82.50     100.00
M442741649      raw         23        301        240         10          4         51         65         11
M442741649      sys         23        301      79.73       3.32       1.33      16.94      21.59      47.83
M448151779      raw         60        988        919         17         26         52         95         33
M448151779      sys         60        988      93.02       1.72       2.63       5.26       9.62      55.00
M449054207      raw         94        996        851         21         10        124        155         42
M449054207      sys         94        996      85.44       2.11       1.00      12.45      15.56      44.68
M454114         raw         17        321        296          4          7         21         32          6
M454114         sys         17        321      92.21       1.25       2.18       6.54       9.97      35.29
M461593341      raw         14        100         94          3          0          3          6          2
M461593341      sys         14        100      94.00       3.00       0.00       3.00       6.00      14.29
M465900495      raw         25        111        111          0         14          0         14         10
M465900495      sys         25        111     100.00       0.00      12.61       0.00      12.61      40.00
M468212920      raw         38        242        237          5          6          0         11          7
M468212920      sys         38        242      97.93       2.07       2.48       0.00       4.55      18.42
M470721603      raw         13        220        162          7          2         51         60          8
M470721603      sys         13        220      73.64       3.18       0.91      23.18      27.27      61.54
M470802185      raw         73        776        553          7          5        216        228         35
M470802185      sys         73        776      71.26       0.90       0.64      27.84      29.38      47.95
M4718877        raw         23        205        169         16         10         20         46         10
M4718877        sys         23        205      82.44       7.80       4.88       9.76      22.44      43.48
M472508547      raw         23        150        145          4          3          1          8          4
M472508547      sys         23        150      96.67       2.67       2.00       0.67       5.33      17.39
M473076066      raw         18        140        125          1          0         14         15          6
M473076066      sys         18        140      89.29       0.71       0.00      10.00      10.71      33.33
M473434195      raw         36        295        276          9          0         10         19         11
M473434195      sys         36        295      93.56       3.05       0.00       3.39       6.44      30.56
M479231683      raw         25        258        236         10         17         12         39         13
M479231683      sys         25        258      91.47       3.88       6.59       4.65      15.12      52.00
M481595491      raw         39        280        267          1          0         12         13          6
M481595491      sys         39        280      95.36       0.36       0.00       4.29       4.64      15.38
M485285471      raw         32        226        222          3         14          1         18          6
M485285471      sys         32        226      98.23       1.33       6.19       0.44       7.96      18.75
M496682159      raw         48        662        592         10         10         60         80         27
M496682159      sys         48        662      89.43       1.51       1.51       9.06      12.08      56.25
M503643533      raw         18        181        162          3          0         16         19          7
M503643533      sys         18        181      89.50       1.66       0.00       8.84      10.50      38.89
M516441163      raw         60        756        651         20         17         85        122         33
M516441163      sys         60        756      86.11       2.65       2.25      11.24      16.14      55.00
M518766595      raw         11        140        134          0          4          6         10          4
M518766595      sys         11        140      95.71       0.00       2.86       4.29       7.14      36.36
M519909720      raw         14        146        138          1          4          7         12          5
M519909720      sys         14        146      94.52       0.68       2.74       4.79       8.22      35.71
M529522957      raw         22        214        211          3         15          0         18          5
M529522957      sys         22        214      98.60       1.40       7.01       0.00       8.41      22.73
M535483593      raw         13         70         67          1          0          2          3          3
M535483593      sys         13         70      95.71       1.43       0.00       2.86       4.29      23.08
M539147749      raw         52        307        294          1          0         12         13         12
M539147749      sys         52        307      95.77       0.33       0.00       3.91       4.23      23.08
M541557958      raw         16        328        285          6          1         37         44          9
M541557958      sys         16        328      86.89       1.83       0.30      11.28      13.41      56.25
M551469773      raw         28        181        120          2          0         59         61         13
M551469773      sys         28        181      66.30       1.10       0.00      32.60      33.70      46.43
M551762699      raw         22        299        276          1          0         22         23          8
M551762699      sys         22        299      92.31       0.33       0.00       7.36       7.69      36.36
M554745681      raw          2         30          5          1          0         24         25          2
M554745681      sys          2         30      16.67       3.33       0.00      80.00      83.33     100.00
M555404170      raw         31        284        191         12          6         81         99         22
M555404170      sys         31        284      67.25       4.23       2.11      28.52      34.86      70.97
M556909673      raw         89       1050        976         12         19         62         93         23
M556909673      sys         89       1050      92.95       1.14       1.81       5.90       8.86      25.84
M558179175      raw         29        280        232         10         30         38         78         25
M558179175      sys         29        280      82.86       3.57      10.71      13.57      27.86      86.21
M558355066      raw         12        404        395          4          0          5          9          4
M558355066      sys         12        404      97.77       0.99       0.00       1.24       2.23      33.33
M565341445      raw         34        483        444         12         15         27         54         12
M565341445      sys         34        483      91.93       2.48       3.11       5.59      11.18      35.29
M565747737      raw         37        432        303         24          5        105        134         19
M565747737      sys         37        432      70.14       5.56       1.16      24.31      31.02      51.35
M572078517      raw         26        279        227          6          2         46         54         15
M572078517      sys         26        279      81.36       2.15       0.72      16.49      19.35      57.69
M574146148      raw         11        131        130          1         23          0         24          4
M574146148      sys         11        131      99.24       0.76      17.56       0.00      18.32      36.36
M585274004      raw         19        237        201          2          0         34         36          6
M585274004      sys         19        237      84.81       0.84       0.00      14.35      15.19      31.58
M592696098      raw         13        247        230          9         13          8         30          9
M592696098      sys         13        247      93.12       3.64       5.26       3.24      12.15      69.23
M610512636      raw         29        227        218          5         12          4         21         10
M610512636      sys         29        227      96.04       2.20       5.29       1.76       9.25      34.48
M616900391      raw         32        312        254         11         15         47         73         17
M616900391      sys         32        312      81.41       3.53       4.81      15.06      23.40      53.12
M619549202      raw         22        280        269          0          1         11         12          5
M619549202      sys         22        280      96.07       0.00       0.36       3.93       4.29      22.73
M637574978      raw          5        278        254         19         16          5         40          3
M637574978      sys          5        278      91.37       6.83       5.76       1.80      14.39      60.00
M6381048        raw         34        392        382          4          4          6         14         11
M6381048        sys         34        392      97.45       1.02       1.02       1.53       3.57      32.35
M644995110      raw         18        205        203          0          0          2          2          2
M644995110      sys         18        205      99.02       0.00       0.00       0.98       0.98      11.11
M647460183      raw         16        198        162          5         17         31         53         10
M647460183      sys         16        198      81.82       2.53       8.59      15.66      26.77      62.50
M704245428      raw         12        145        143          0          0          2          2          2
M704245428      sys         12        145      98.62       0.00       0.00       1.38       1.38      16.67
M70737217       raw         27        190        156          4          0         30         34         14
M70737217       sys         27        190      82.11       2.11       0.00      15.79      17.89      51.85
M71252152       raw          6         27         20          1          2          6          9          2
M71252152       sys          6         27      74.07       3.70       7.41      22.22      33.33      33.33
M719657100      raw         69        712        640         20         17         52         89         30
M719657100      sys         69        712      89.89       2.81       2.39       7.30      12.50      43.48
M72789914       raw         34        286        278          3          5          5         13          8
M72789914       sys         34        286      97.20       1.05       1.75       1.75       4.55      23.53
M737043294      raw         15        391        379          9          4          3         16          5
M737043294      sys         15        391      96.93       2.30       1.02       0.77       4.09      33.33
M754006719      raw         31        207        198          3          5          6         14          8
M754006719      sys         31        207      95.65       1.45       2.42       2.90       6.76      25.81
M756830524      raw         27        346        283         25          6         38         69         21
M756830524      sys         27        346      81.79       7.23       1.73      10.98      19.94      77.78
M76656935       raw         19        120        117          1          1          2          4          4
M76656935       sys         19        120      97.50       0.83       0.83       1.67       3.33      21.05
M76794689       raw          3         36         29          2          1          5          8          2
M76794689       sys          3         36      80.56       5.56       2.78      13.89      22.22      66.67
M784199980      raw          3         52         50          0          1          2          3          2
M784199980      sys          3         52      96.15       0.00       1.92       3.85       5.77      66.67
M789152069      raw         41        260        246          5         12          9         26         13
M789152069      sys         41        260      94.62       1.92       4.62       3.46      10.00      31.71
M790937062      raw         16        269        196         53         11         20         84         15
M790937062      sys         16        269      72.86      19.70       4.09       7.43      31.23      93.75
M816941465      raw         18        135        107          2          1         26         29          7
M816941465      sys         18        135      79.26       1.48       0.74      19.26      21.48      38.89
M820560974      raw         39        405        363         10          5         32         47         16
M820560974      sys         39        405      89.63       2.47       1.23       7.90      11.60      41.03
M828694054      raw         11        125        102         15          4          8         27          8
M828694054      sys         11        125      81.60      12.00       3.20       6.40      21.60      72.73
M833109745      raw         16         79         78          1          2          0          3          2
M833109745      sys         16         79      98.73       1.27       2.53       0.00       3.80      12.50
M833915065      raw         23        185        173          9         11          3         23         10
M833915065      sys         23        185      93.51       4.86       5.95       1.62      12.43      43.48
M835227631      raw          5        612        439         26          2        147        175          4
M835227631      sys          5        612      71.73       4.25       0.33      24.02      28.59      80.00
M837810330      raw         20        242        225          4          6         13         23         13
M837810330      sys         20        242      92.98       1.65       2.48       5.37       9.50      65.00
M84390793       raw         42        574        564          6         15          4         25         12
M84390793       sys         42        574      98.26       1.05       2.61       0.70       4.36      28.57
M849066217      raw         20        207        207          0          4          0          4          3
M849066217      sys         20        207     100.00       0.00       1.93       0.00       1.93      15.00
M849148130      raw        199       3037       2966         35         66         36        137         58
M849148130      sys        199       3037      97.66       1.15       2.17       1.19       4.51      29.15
M853667763      raw         26        366        313         32         10         21         63         15
M853667763      sys         26        366      85.52       8.74       2.73       5.74      17.21      57.69
M856376576      raw         35        270        235         15          4         20         39         18
M856376576      sys         35        270      87.04       5.56       1.48       7.41      14.44      51.43
M863295486      raw         25        215        192          0          0         23         23          7
M863295486      sys         25        215      89.30       0.00       0.00      10.70      10.70      28.00
M896423218      raw          8        152        152          0          0          0          0          0
M896423218      sys          8        152     100.00       0.00       0.00       0.00       0.00       0.00
M909014286      raw         30        210        190          1          1         19         21         10
M909014286      sys         30        210      90.48       0.48       0.48       9.05      10.00      33.33
M922539668      raw         17        184        167          7          3         10         20          7
M922539668      sys         17        184      90.76       3.80       1.63       5.43      10.87      41.18
M930512         raw         18        191        190          0          3          1          4          2
M930512         sys         18        191      99.48       0.00       1.57       0.52       2.09      11.11
M933750823      raw         18        164        135          4         21         25         50         10
M933750823      sys         18        164      82.32       2.44      12.80      15.24      30.49      55.56
M937300497      raw         13        197        191          2          7          4         13          7
M937300497      sys         13        197      96.95       1.02       3.55       2.03       6.60      53.85
SUM             raw       8794      99932      87203       3114       2143       9615      14872       3621
SUM             sys       8794      99932      87.26       3.12       2.14       9.62      14.88      41.18
