SPEAKER         id       #SENT      #WORD       Corr        Sub        Ins        Del        Err      S.Err
F1410415660     raw         36        267        251          2          2         14         18          7
F1410415660     sys         36        267      94.01       0.75       0.75       5.24       6.74      19.44
F151774050      raw         23        241        220          2          0         19         21          5
F151774050      sys         23        241      91.29       0.83       0.00       7.88       8.71      21.74
F16394698       raw         29        575        437         70         38         68        176         29
F16394698       sys         29        575      76.00      12.17       6.61      11.83      30.61     100.00
F169657933      raw         22        177        146          8          5         23         36         11
F169657933      sys         22        177      82.49       4.52       2.82      12.99      20.34      50.00
F181762618      raw         14        296        282          3          2         11         16          5
F181762618      sys         14        296      95.27       1.01       0.68       3.72       5.41      35.71
F189894946      raw          6        252        241          5          3          6         14          5
F189894946      sys          6        252      95.63       1.98       1.19       2.38       5.56      83.33
F189989252      raw         20        231        202          6          0         23         29          5
F189989252      sys         20        231      87.45       2.60       0.00       9.96      12.55      25.00
F190275293      raw         21        295        251          2          3         42         47         10
F190275293      sys         21        295      85.08       0.68       1.02      14.24      15.93      47.62
F195019358      raw         15        286        278          5         12          3         20          7
F195019358      sys         15        286      97.20       1.75       4.20       1.05       6.99      46.67
F196863556      raw         20         88         86          0          0          2          2          2
F196863556      sys         20         88      97.73       0.00       0.00       2.27       2.27      10.00
F199649581      raw         21        245        240          2         17          3         22          4
F199649581      sys         21        245      97.96       0.82       6.94       1.22       8.98      19.05
F2029497        raw         18        248        208          2          0         38         40         10
F2029497        sys         18        248      83.87       0.81       0.00      15.32      16.13      55.56
F218845330      raw         24        197        175          1          0         21         22          8
F218845330      sys         24        197      88.83       0.51       0.00      10.66      11.17      33.33
F228185323      raw         13         62         61          1          0          0          1          1
F228185323      sys         13         62      98.39       1.61       0.00       0.00       1.61       7.69
F236490140      raw         26        290        263          0         14         27         41         15
F236490140      sys         26        290      90.69       0.00       4.83       9.31      14.14      57.69
F240858801      raw         67        493        479          4          2         10         16          6
F240858801      sys         67        493      97.16       0.81       0.41       2.03       3.25       8.96
F249015260      raw         26        180        174          2          4          4         10          9
F249015260      sys         26        180      96.67       1.11       2.22       2.22       5.56      34.62
F250903799      raw         34        336        226         13          5         97        115         17
F250903799      sys         34        336      67.26       3.87       1.49      28.87      34.23      50.00
F25573971       raw         15        216        151         21         23         44         88         15
F25573971       sys         15        216      69.91       9.72      10.65      20.37      40.74     100.00
F260754758      raw         36        385        363          3         10         19         32         16
F260754758      sys         36        385      94.29       0.78       2.60       4.94       8.31      44.44
F261554405      raw         24        161        113         23          2         25         50         13
F261554405      sys         24        161      70.19      14.29       1.24      15.53      31.06      54.17
F266142232      raw         21        147        119          9         17         19         45         12
F266142232      sys         21        147      80.95       6.12      11.56      12.93      30.61      57.14
F269845660      raw         29        246        243          1          1          2          4          4
F269845660      sys         29        246      98.78       0.41       0.41       0.81       1.63      13.79
F270508625      raw         31        322        315          2          0          5          7          2
F270508625      sys         31        322      97.83       0.62       0.00       1.55       2.17       6.45
F280738565      raw         20        206        198          0          0          8          8          4
F280738565      sys         20        206      96.12       0.00       0.00       3.88       3.88      20.00
F28580180       raw         28        153        147          2          7          4         13          8
F28580180       sys         28        153      96.08       1.31       4.58       2.61       8.50      28.57
F290144460      raw         32        227        214          6          7          7         20         11
F290144460      sys         32        227      94.27       2.64       3.08       3.08       8.81      34.38
F299397483      raw         25        240        228          2          2         10         14          8
F299397483      sys         25        240      95.00       0.83       0.83       4.17       5.83      32.00
F299685340      raw         27        257        203          7          3         47         57         12
F299685340      sys         27        257      78.99       2.72       1.17      18.29      22.18      44.44
F304787586      raw         12        160        146          7          0          7         14          6
F304787586      sys         12        160      91.25       4.38       0.00       4.38       8.75      50.00
F305385990      raw         76       1214        927         35         12        252        299         53
F305385990      sys         76       1214      76.36       2.88       0.99      20.76      24.63      69.74
F323505547      raw         33        259        232          8          2         19         29         12
F323505547      sys         33        259      89.58       3.09       0.77       7.34      11.20      36.36
F33066217       raw         17        339        289          6          6         44         56         11
F33066217       sys         17        339      85.25       1.77       1.77      12.98      16.52      64.71
F333006356      raw         37        288        231          5          0         52         57         13
F333006356      sys         37        288      80.21       1.74       0.00      18.06      19.79      35.14
F338113947      raw         35        248        243          0          9          5         14          8
F338113947      sys         35        248      97.98       0.00       3.63       2.02       5.65      22.86
F344190956      raw         20        254        199          9          2         46         57         12
F344190956      sys         20        254      78.35       3.54       0.79      18.11      22.44      60.00
F344901170      raw         18        150        141          5          1          4         10          7
F344901170      sys         18        150      94.00       3.33       0.67       2.67       6.67      38.89
F347992584      raw         11        164        106         15          3         43         61          8
F347992584      sys         11        164      64.63       9.15       1.83      26.22      37.20      72.73
F356361017      raw         30        233        208          0          0         25         25          9
F356361017      sys         30        233      89.27       0.00       0.00      10.73      10.73      30.00
F361482855      raw         99        613        579         15         28         19         62         25
F361482855      sys         99        613      94.45       2.45       4.57       3.10      10.11      25.25
F363750030      raw         17        127        119          1          3          7         11          6
F363750030      sys         17        127      93.70       0.79       2.36       5.51       8.66      35.29
F370878337      raw         25        272        265          2         14          5         21          8
F370878337      sys         25        272      97.43       0.74       5.15       1.84       7.72      32.00
F380348595      raw         25        174        124          7          0         43         50         18
F380348595      sys         25        174      71.26       4.02       0.00      24.71      28.74      72.00
F381349333      raw         44        475        410         10          3         55         68         18
F381349333      sys         44        475      86.32       2.11       0.63      11.58      14.32      40.91
F387269721      raw         42        281        265          6         11         10         27         14
F387269721      sys         42        281      94.31       2.14       3.91       3.56       9.61      33.33
F396078094      raw         14        316        311          3          4          2          9          5
F396078094      sys         14        316      98.42       0.95       1.27       0.63       2.85      35.71
F397032667      raw         25        293        271          7          3         15         25          7
F397032667      sys         25        293      92.49       2.39       1.02       5.12       8.53      28.00
F40139354       raw          6        311        120         24          9        167        200          3
F40139354       sys          6        311      38.59       7.72       2.89      53.70      64.31      50.00
F402223075      raw         36        500        479         15         10          6         31         15
F402223075      sys         36        500      95.80       3.00       2.00       1.20       6.20      41.67
F409714814      raw         39        259        240          4          1         15         20         12
F409714814      sys         39        259      92.66       1.54       0.39       5.79       7.72      30.77
F416050662      raw          6         89         85          2          5          2          9          1
F416050662      sys          6         89      95.51       2.25       5.62       2.25      10.11      16.67
F422819641      raw         18        279        274          2          1          3          6          5
F422819641      sys         18        279      98.21       0.72       0.36       1.08       2.15      27.78
F423925286      raw          5         56         22          2          1         32         35          4
F423925286      sys          5         56      39.29       3.57       1.79      57.14      62.50      80.00
F425215637      raw         33        347        339          8          4          0         12          3
F425215637      sys         33        347      97.69       2.31       1.15       0.00       3.46       9.09
F429817452      raw         16        174        113         16          3         45         64         12
F429817452      sys         16        174      64.94       9.20       1.72      25.86      36.78      75.00
F431653211      raw         33        681        586         42          3         53         98         25
F431653211      sys         33        681      86.05       6.17       0.44       7.78      14.39      75.76
F432434503      raw          4         81         60          4          0         17         21          3
F432434503      sys          4         81      74.07       4.94       0.00      20.99      25.93      75.00
F433809462      raw         21        151        144          4          4          3         11          8
F433809462      sys         21        151      95.36       2.65       2.65       1.99       7.28      38.10
